game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,carries,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,receiving_broken_tackles
2024_01_TEN_CHI,202409080chi,2024,1,REG,TEN,CHI,Will Levis,LeviWi00,4,22,5.5,14,3.5,1,
2024_01_TEN_CHI,202409080chi,2024,1,REG,TEN,CHI,Tyjae Spears,SpeaTy00,4,10,2.5,11,2.8,0,
2024_01_TEN_CHI,202409080chi,2024,1,REG,TEN,CHI,Treylon Burks,BurkTr00,2,-5,-2.5,6,3,1,
2024_01_NE_CIN,202409080cin,2024,1,REG,CIN,NE,Zack Moss,MossZa00,9,27,3,17,1.9,0,
2024_01_NE_CIN,202409080cin,2024,1,REG,CIN,NE,Joe Burrow,BurrJo01,4,13,3.3,2,0.5,0,
2024_01_NE_CIN,202409080cin,2024,1,REG,CIN,NE,Chase Brown,BrowCh10,3,7,2.3,4,1.3,1,
2024_01_NE_CIN,202409080cin,2024,1,REG,NE,CIN,Rhamondre Stevenson,StevRh00,25,45,1.8,75,3,2,
2024_01_NE_CIN,202409080cin,2024,1,REG,NE,CIN,Jacoby Brissett,BrisJa00,7,27,3.9,5,0.7,0,
2024_01_NE_CIN,202409080cin,2024,1,REG,NE,CIN,Antonio Gibson,GibsAn00,7,10,1.4,8,1.1,1,
2024_01_HOU_IND,202409080clt,2024,1,REG,IND,HOU,Jonathan Taylor,TaylJo02,16,29,1.8,19,1.2,1,
2024_01_HOU_IND,202409080clt,2024,1,REG,IND,HOU,Anthony Richardson,RichAn03,6,41,6.8,15,2.5,1,
2024_01_HOU_IND,202409080clt,2024,1,REG,HOU,IND,Joe Mixon,MixoJo00,30,104,3.5,55,1.8,2,
2024_01_HOU_IND,202409080clt,2024,1,REG,HOU,IND,C.J. Stroud,StroCJ00,4,0,0,13,3.3,1,
2024_01_HOU_IND,202409080clt,2024,1,REG,HOU,IND,Dameon Pierce,PierDa01,3,3,1,13,4.3,2,
2024_01_HOU_IND,202409080clt,2024,1,REG,HOU,IND,Tank Dell,DellNa00,2,19,9.5,0,0,0,
2024_01_HOU_IND,202409080clt,2024,1,REG,HOU,IND,Stefon Diggs,DiggSt00,1,4,4,2,2,0,
2024_01_JAX_MIA,202409080mia,2024,1,REG,MIA,JAX,De'Von Achane,AchaDe00,10,22,2.2,2,0.2,0,
2024_01_JAX_MIA,202409080mia,2024,1,REG,MIA,JAX,Raheem Mostert,MostRa00,6,2,0.3,7,1.2,0,
2024_01_JAX_MIA,202409080mia,2024,1,REG,MIA,JAX,Jeff Wilson,WilsJe01,5,10,2,16,3.2,0,
2024_01_JAX_MIA,202409080mia,2024,1,REG,MIA,JAX,Alec Ingold,IngoAl01,2,1,0.5,7,3.5,0,
2024_01_JAX_MIA,202409080mia,2024,1,REG,MIA,JAX,Tua Tagovailoa,TagoTu00,1,11,11,0,0,0,
2024_01_JAX_MIA,202409080mia,2024,1,REG,MIA,JAX,Jaylen Waddle,WaddJa00,1,0,0,3,3,0,
2024_01_JAX_MIA,202409080mia,2024,1,REG,JAX,MIA,Tank Bigsby,BigsTa00,12,47,3.9,26,2.2,1,
2024_01_JAX_MIA,202409080mia,2024,1,REG,JAX,MIA,Travis Etienne,EtieTr00,12,31,2.6,13,1.1,0,
2024_01_JAX_MIA,202409080mia,2024,1,REG,JAX,MIA,Devin Duvernay,DuveDe00,1,1,1,2,2,0,
2024_01_JAX_MIA,202409080mia,2024,1,REG,JAX,MIA,Trevor Lawrence,LawrTr00,1,8,8,0,0,0,
2024_01_CAR_NO,202409080nor,2024,1,REG,NO,CAR,Alvin Kamara,KamaAl00,15,63,4.2,20,1.3,0,
2024_01_CAR_NO,202409080nor,2024,1,REG,NO,CAR,Jamaal Williams,WillJa06,11,22,2,16,1.5,0,
2024_01_CAR_NO,202409080nor,2024,1,REG,NO,CAR,Taysom Hill,HillTa00,5,7,1.4,28,5.6,1,
2024_01_CAR_NO,202409080nor,2024,1,REG,NO,CAR,Jordan Mims,MimsJo00,4,7,1.8,4,1,0,
2024_01_CAR_NO,202409080nor,2024,1,REG,NO,CAR,Derek Carr,CarrDe02,2,10,5,3,1.5,0,
2024_01_CAR_NO,202409080nor,2024,1,REG,CAR,NO,Chuba Hubbard,HubbCh01,6,8,1.3,6,1,0,
2024_01_CAR_NO,202409080nor,2024,1,REG,CAR,NO,Miles Sanders,SandMi01,5,13,2.6,9,1.8,1,
2024_01_CAR_NO,202409080nor,2024,1,REG,CAR,NO,Mike Boone,BoonMi00,4,2,0.5,5,1.3,1,
2024_01_CAR_NO,202409080nor,2024,1,REG,CAR,NO,Bryce Young,YounBr01,4,12,3,0,0,0,
2024_01_CAR_NO,202409080nor,2024,1,REG,CAR,NO,Jonathan Mingo,MingJo00,1,3,3,0,0,0,
2024_01_MIN_NYG,202409080nyg,2024,1,REG,NYG,MIN,Devin Singletary,SingDe00,10,17,1.7,20,2,0,
2024_01_MIN_NYG,202409080nyg,2024,1,REG,NYG,MIN,Daniel Jones,JoneDa05,6,12,2,3,0.5,0,
2024_01_MIN_NYG,202409080nyg,2024,1,REG,NYG,MIN,Eric Gray,GrayEr01,2,4,2,2,1,0,
2024_01_MIN_NYG,202409080nyg,2024,1,REG,NYG,MIN,Tyrone Tracy,TracTy00,2,2,1,0,0,0,
2024_01_MIN_NYG,202409080nyg,2024,1,REG,NYG,MIN,Wan'Dale Robinson,RobiWa01,1,3,3,11,11,0,
2024_01_MIN_NYG,202409080nyg,2024,1,REG,MIN,NYG,Aaron Jones,JoneAa00,14,53,3.8,41,2.9,1,
2024_01_MIN_NYG,202409080nyg,2024,1,REG,MIN,NYG,Ty Chandler,ChanTy01,8,11,1.4,6,0.8,0,
2024_01_MIN_NYG,202409080nyg,2024,1,REG,MIN,NYG,Sam Darnold,DarnSa00,3,2,0.7,1,0.3,0,
2024_01_MIN_NYG,202409080nyg,2024,1,REG,MIN,NYG,Myles Gaskin,GaskMy00,1,-3,-3,0,0,0,
2024_01_LV_LAC,202409080sdg,2024,1,REG,LAC,LV,Gus Edwards,EdwaGu00,11,11,1,15,1.4,1,
2024_01_LV_LAC,202409080sdg,2024,1,REG,LAC,LV,J.K. Dobbins,DobbJK00,10,64,6.4,71,7.1,4,
2024_01_LV_LAC,202409080sdg,2024,1,REG,LAC,LV,Justin Herbert,HerbJu00,4,6,1.5,0,0,0,
2024_01_LV_LAC,202409080sdg,2024,1,REG,LAC,LV,Derius Davis,DaviDe02,2,5,2.5,4,2,0,
2024_01_LV_LAC,202409080sdg,2024,1,REG,LV,LAC,Zamir White,WhitZa01,13,19,1.5,25,1.9,2,
2024_01_LV_LAC,202409080sdg,2024,1,REG,LV,LAC,Alexander Mattison,MattAl01,5,6,1.2,13,2.6,0,
2024_01_LV_LAC,202409080sdg,2024,1,REG,LV,LAC,Gardner Minshew II,MinsGa00,3,0,0,5,1.7,0,
2024_01_LV_LAC,202409080sdg,2024,1,REG,LV,LAC,Jakobi Meyers,MeyeJa01,1,1,1,2,2,0,
2024_01_DEN_SEA,202409080sea,2024,1,REG,SEA,DEN,Kenneth Walker III,WalkKe00,20,52,2.6,51,2.6,2,
2024_01_DEN_SEA,202409080sea,2024,1,REG,SEA,DEN,Zach Charbonnet,CharZa00,8,3,0.4,9,1.1,0,
2024_01_DEN_SEA,202409080sea,2024,1,REG,SEA,DEN,Geno Smith,SmitGe00,4,30,7.5,0,0,0,
2024_01_DEN_SEA,202409080sea,2024,1,REG,SEA,DEN,Laviska Shenault Jr.,ShenLa00,1,0,0,1,1,0,
2024_01_DEN_SEA,202409080sea,2024,1,REG,DEN,SEA,Jaleel McLaughlin,McLaJa00,10,15,1.5,12,1.2,1,
2024_01_DEN_SEA,202409080sea,2024,1,REG,DEN,SEA,Javonte Williams,WillJa10,8,9,1.1,14,1.8,1,
2024_01_DEN_SEA,202409080sea,2024,1,REG,DEN,SEA,Bo Nix,NixxBo00,5,34,6.8,1,0.2,0,
2024_01_DEN_SEA,202409080sea,2024,1,REG,DEN,SEA,Audric Estime,EstiAu00,2,13,6.5,1,0.5,0,
2024_01_DAL_CLE,202409080cle,2024,1,REG,CLE,DAL,Jerome Ford,FordJe00,12,20,1.7,24,2,1,
2024_01_DAL_CLE,202409080cle,2024,1,REG,CLE,DAL,Deshaun Watson,WatsDe00,5,25,5,14,2.8,1,
2024_01_DAL_CLE,202409080cle,2024,1,REG,CLE,DAL,Pierre Strong,StroPi00,2,6,3,4,2,0,
2024_01_DAL_CLE,202409080cle,2024,1,REG,DAL,CLE,Ezekiel Elliott,ElliEz00,10,25,2.5,15,1.5,0,
